"Группа показателей","Номер показателя (ID)","Название показателя","Ед.измерения","Название региона","Сегмент","Показывать","2015","2016","2017","2018","2019","2020","2021","2022","2014","Описание"
"Прочее","96058","Особо охраняемые природные территории","тыс га","Алтайский край","всего","площадь","801","812","890","891","892","1058","980","1003","766","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Отходы","96038","Твердые коммунальные отходы","кг","Алтайский край","образовано","на душу населения","н/д","н/д","н/д","н/д","189,2","192,2","210,7","216,1","н/д","2020–2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/ \
2019 — Минприроды: Государственный доклад о состоянии и об охране окружающей среды в 2020 году \
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96037","Твердые коммунальные отходы","тысяч тонн","Алтайский край","образовано","всего","н/д","н/д","н/д","н/д","441,3","445,322253","483,803275","490,161471","н/д","2020–2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/ \
2019 — Минприроды: Государственный доклад о состоянии и об охране окружающей среды в 2020 году \
Расчеты: команда проекта «Если быть точным»"
"Прочее","96061","Особо охраняемые природные территории","тыс га","Алтайский край","местные","площадь","0","0","0","0","0","0","0","0","0","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Отходы","96043","Твердые коммунальные отходы","%","Алтайский край","направлено на утилизацию","% от образованных","н/д","н/д","н/д","н/д","н/д","0,0","0,0","0,0","н/д","2021-2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
2014–2020 — ЕМИСС\
Расчеты: команда проекта «Если быть точным»"
"Прочее","96060","Особо охраняемые природные территории","тыс га","Алтайский край","региональные","площадь","759","770","848","849","850","855","777","758","724","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Прочее","96059","Особо охраняемые природные территории","тыс га","Алтайский край","федеральные","площадь","42","42","42","42","42","203","203","244","42","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Отходы","96042","Твердые коммунальные отходы","тысяч тонн","Алтайский край","направлено на утилизацию","всего","н/д","н/д","н/д","н/д","н/д","0,0","0,0","0,0","н/д","2021-2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
2014–2020 — ЕМИСС\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96041","Твердые коммунальные отходы","%","Алтайский край","захоронено","% от образованных","н/д","н/д","н/д","н/д","н/д","94,9","100,0","95,3","н/д","2021-2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
2014–2020 — ЕМИСС\
Расчеты: команда проекта «Если быть точным»"
"Прочее","96057","Особо охраняемые природные территории","шт.","Алтайский край","местные","количество","4","4","4","4","4","4","4","4","4","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
