"Группа показателей","Номер показателя (ID)","Название показателя","Ед.измерения","Название региона","Сегмент","Показывать","2015","2016","2017","2018","2019","2020","2021","2022","2014","Описание"
"Отходы","96046","Количество несанкционированных свалок","шт.","Тамбовская область","","","н/д","н/д","н/д","н/д","н/д","31","44","31","н/д","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/unauthorized-landfill/\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96013","Рейтинг: загрязнение воздуха","оценка","Тамбовская область","","","н/д","н/д","н/д","н/д","н/д","н/д","C","C","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Финансы","96062","Расходы на охрану окружающей среды","млн рублей","Тамбовская область","","","1658,0","1607,0","2217,0","1665,0","2178,0","3229,0","4220,0","н/д","1483,0","Росстат: раздел «Официальная статистика» —> Окружающая среда"
"Прочее","96054","Особо охраняемые природные территории","шт.","Тамбовская область","всего","количество","н/д","н/д","н/д","111","111","109","108","108","н/д","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Воздух","96022","Городов с регулярными наблюдениями за загрязнением воздуха","шт.","Тамбовская область","","","н/д","н/д","н/д","н/д","н/д","н/д","1","1","н/д","Росгидромет: ежегодник «Состояние загрязнения атмосферы в городах на территории России»"
"Отходы","96049","Объекты накопленного вреда окружающей среде","оценка","Тамбовская область","","сумма влияния всех объектов","н/д","н/д","н/д","н/д","н/д","н/д","7,5","5,0","н/д","Минприроды: Государственный реестр объектов накопленного вреда окружающей среде (данные на 15.07.2022)\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96036","Рейтинг: отходы","оценка","Тамбовская область","","","н/д","н/д","н/д","н/д","н/д","н/д","C","C","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Прочее","96061","Особо охраняемые природные территории","тыс га","Тамбовская область","местные","площадь","0","0","0","7","7","7","0","0","0","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Прочее","96060","Особо охраняемые природные территории","тыс га","Тамбовская область","региональные","площадь","0","0","0","129","128","128","128","128","0","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Отходы","96047","Объекты накопленного вреда окружающей среде","шт.","Тамбовская область","","всего объектов","н/д","н/д","н/д","н/д","н/д","н/д","5,0","5,0","н/д","Минприроды: Государственный реестр объектов накопленного вреда окружающей среде (данные на 15.07.2022)"
"Отходы","96050","Отходы производства и потребления","тысяч тонн","Тамбовская область","образовано","","4033,4","н/д","н/д","4377,8","5114,8","4001,9","1788,1","1835,0","3883,2","2014–2018 — ЕМИСС\
2019–2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/"
"Отходы","96044","Твердые коммунальные отходы","тысяч тонн","Тамбовская область","накоплено","всего","н/д","н/д","н/д","н/д","н/д","0,0","81,6","0,4","н/д","2021-2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
2014–2020 — ЕМИСС\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96043","Твердые коммунальные отходы","%","Тамбовская область","направлено на утилизацию","% от образованных","н/д","н/д","н/д","н/д","н/д","0,1","2,3","3,4","н/д","2021-2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
2014–2020 — ЕМИСС\
Расчеты: команда проекта «Если быть точным»"
"Прочее","96059","Особо охраняемые природные территории","тыс га","Тамбовская область","федеральные","площадь","0","0","0","10","10","10","10","10","0","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Прочее","96058","Особо охраняемые природные территории","тыс га","Тамбовская область","всего","площадь","0","0","0","146","145","145","138","138","0","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Отходы","96037","Твердые коммунальные отходы","тысяч тонн","Тамбовская область","образовано","всего","н/д","н/д","н/д","н/д","279,0","278,2978","359,0313","244,8343","н/д","2020–2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/ \
2019 — Минприроды: Государственный доклад о состоянии и об охране окружающей среды в 2020 году \
Расчеты: команда проекта «Если быть точным»"
"Отходы","96042","Твердые коммунальные отходы","тысяч тонн","Тамбовская область","направлено на утилизацию","всего","н/д","н/д","н/д","н/д","н/д","0,2","8,1","8,3","н/д","2021-2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
2014–2020 — ЕМИСС\
Расчеты: команда проекта «Если быть точным»"
"Рейтинг","96063","Оценка масштаба проблемы (рейтинг А-Е)","оценка","Тамбовская область","","","н/д","н/д","н/д","н/д","н/д","н/д","C","C","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Отходы","96051","Отходы производства и потребления","тысяч тонн","Тамбовская область","накоплено","","400","н/д","н/д","475","843","336","260","290,2","401","2014–2018 — ЕМИСС\
2019–2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/"
"Отходы","96038","Твердые коммунальные отходы","кг","Тамбовская область","образовано","на душу населения","н/д","н/д","н/д","н/д","274,6","276,4","361,0","249,6","н/д","2020–2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/ \
2019 — Минприроды: Государственный доклад о состоянии и об охране окружающей среды в 2020 году \
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96041","Твердые коммунальные отходы","%","Тамбовская область","захоронено","% от образованных","н/д","н/д","н/д","н/д","н/д","36,3","55,9","83,9","н/д","2021-2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
2014–2020 — ЕМИСС\
Расчеты: команда проекта «Если быть точным»"
"Прочее","96057","Особо охраняемые природные территории","шт.","Тамбовская область","местные","количество","н/д","н/д","н/д","1","1","1","н/д","н/д","н/д","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Вода","96025","Доля водопроводов хозяйственно-питьевого централизованного водоснабжения, не соответствующих санитарным нормам и правилам","%","Тамбовская область","","","11,7","12,8","10,3","9,8","3,8","5,8","5,7","5,14","11,7","ЕМИСС: Роспотребнадзор"
"Воздух","96018","Выбросы от стационарных источников","тысяч тонн","Тамбовская область","","всего","н/д","56","н/д","55,9","н/д","69","68,4","  61,6 ","44,7","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/"
"Воздух","96014","Население в городах с высоким и очень высоким уровнем загрязнения воздуха (% городского населения)","%","Тамбовская область","","","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","Росгидромет: ежегодник «Обзор состояния и загрязнения окружающей среды в Российской Федерации»\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96017","Население в городах со значительным превышением ПДК загрязняющих веществ (% городского населения)","%","Тамбовская область","наибольшая повторяемость превышения ПДК больше 20 (НП>20)","","н/д","н/д","н/д","н/д","н/д","0,0","н/д","0,0","н/д","Росгидромет: ежегодник «Состояние загрязнения атмосферы в городах на территории России»\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96016","Население в городах со значительным превышением ПДК загрязняющих веществ (% городского населения)","%","Тамбовская область","максимальная концентрация какого-либо вещества превысила 10 ПДК (СИ>10)","","н/д","н/д","н/д","н/д","н/д","0,0","н/д","0,0","н/д","Росгидромет: ежегодник «Состояние загрязнения атмосферы в городах на территории России»\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96021","Выбросы от передвижных источников","кг","Тамбовская область","","на душу населения","н/д","98,3","н/д","102,5","н/д","74,1","58,7","55,5","90,4","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Вода","96024","Население, обеспеченное качественной питьевой водой из систем централизованного водоснабжения (% населения)","%","Тамбовская область","","","н/д","н/д","н/д","89,3","89,3","89,4","89,8","91,2","н/д","ЕМИСС: Роспотребнадзор"
"Воздух","96015","Население в городах со значительным превышением ПДК загрязняющих веществ (% городского населения)","%","Тамбовская область","средняя за год концентрация одного или нескольких веществ превысила ПДК (Q>1 ПДК)","","н/д","н/д","н/д","н/д","н/д","47,8","н/д","47,5","н/д","Росгидромет: ежегодник «Состояние загрязнения атмосферы в городах на территории России»\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96019","Выбросы от стационарных источников","кг","Тамбовская область","","на душу населения","н/д","53,3","н/д","54,1","н/д","68,5","68,8","62,8","41,8","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96020","Выбросы от передвижных источников","тысяч тонн","Тамбовская область","","всего","н/д","103,2","н/д","105,9","н/д","74,6","58,4","54,4","96,6","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/"
"Воздух","96020","Выбросы от передвижных источников","тысяч тонн","Тверская область","","всего","н/д","137,4","н/д","149,6","н/д","42,7","42,1","40,1","127,2","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/"
"Воздух","96019","Выбросы от стационарных источников","кг","Тверская область","","на душу населения","н/д","48,3","н/д","21,6","н/д","76,6","50,5","41,7","52,1","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96014","Население в городах с высоким и очень высоким уровнем загрязнения воздуха (% городского населения)","%","Тверская область","","","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","Росгидромет: ежегодник «Обзор состояния и загрязнения окружающей среды в Российской Федерации»\
Расчеты: команда проекта «Если быть точным»"
"Вода","96025","Доля водопроводов хозяйственно-питьевого централизованного водоснабжения, не соответствующих санитарным нормам и правилам","%","Тверская область","","","14,5","12,2","11,5","11,3","11,3","11,3","9,4","10,74","9,0","ЕМИСС: Роспотребнадзор"
"Воздух","96018","Выбросы от стационарных источников","тысяч тонн","Тверская область","","всего","н/д","63","н/д","27,7","н/д","96,6","62,9","  51,3 ","69,1","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/"
"Воздух","96015","Население в городах со значительным превышением ПДК загрязняющих веществ (% городского населения)","%","Тверская область","средняя за год концентрация одного или нескольких веществ превысила ПДК (Q>1 ПДК)","","н/д","н/д","н/д","н/д","н/д","44,8","н/д","45,3","н/д","Росгидромет: ежегодник «Состояние загрязнения атмосферы в городах на территории России»\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96016","Население в городах со значительным превышением ПДК загрязняющих веществ (% городского населения)","%","Тверская область","максимальная концентрация какого-либо вещества превысила 10 ПДК (СИ>10)","","н/д","н/д","н/д","н/д","н/д","0,0","н/д","0,0","н/д","Росгидромет: ежегодник «Состояние загрязнения атмосферы в городах на территории России»\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96017","Население в городах со значительным превышением ПДК загрязняющих веществ (% городского населения)","%","Тверская область","наибольшая повторяемость превышения ПДК больше 20 (НП>20)","","н/д","н/д","н/д","н/д","н/д","0,0","н/д","0,0","н/д","Росгидромет: ежегодник «Состояние загрязнения атмосферы в городах на территории России»\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Вода","96024","Население, обеспеченное качественной питьевой водой из систем централизованного водоснабжения (% населения)","%","Тверская область","","","н/д","н/д","н/д","74,6","70,8","81,9","81,9","84,6","н/д","ЕМИСС: Роспотребнадзор"
"Воздух","96021","Выбросы от передвижных источников","кг","Тверская область","","на душу населения","н/д","105,3","н/д","116,5","н/д","33,9","33,8","32,6","96,0","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96036","Рейтинг: отходы","оценка","Тверская область","","","н/д","н/д","н/д","н/д","н/д","н/д","C","C","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Отходы","96046","Количество несанкционированных свалок","шт.","Тверская область","","","н/д","н/д","н/д","н/д","н/д","136","163","200","н/д","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/unauthorized-landfill/\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96048","Объекты накопленного вреда окружающей среде","оценка","Тверская область","","влияние самого опасного объекта","н/д","н/д","н/д","н/д","н/д","н/д","2,6","2,6","н/д","Минприроды: Государственный реестр объектов накопленного вреда окружающей среде (данные на 15.07.2022)"
"Прочее","96055","Особо охраняемые природные территории","шт.","Тверская область","федеральные","количество","2","2","2","2","2","2","2","2","2","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Прочее","96056","Особо охраняемые природные территории","шт.","Тверская область","региональные","количество","1002","991","992","992","992","992","990","989","1002","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Вода","96023","Рейтинг: загрязнение воды","оценка","Тверская область","","","н/д","н/д","н/д","н/д","н/д","н/д","C","C","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Почвы","96030","Рейтинг: загрязнение почвы","оценка","Тверская область","","","н/д","н/д","н/д","н/д","н/д","н/д","B","B","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Отходы","96049","Объекты накопленного вреда окружающей среде","оценка","Тверская область","","сумма влияния всех объектов","н/д","н/д","н/д","н/д","н/д","н/д","8,9","3,0","н/д","Минприроды: Государственный реестр объектов накопленного вреда окружающей среде (данные на 15.07.2022)\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96013","Рейтинг: загрязнение воздуха","оценка","Тверская область","","","н/д","н/д","н/д","н/д","н/д","н/д","C","B","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Финансы","96062","Расходы на охрану окружающей среды","млн рублей","Тверская область","","","2166,0","2805,0","3008,0","4457,0","4120,0","4232,0","5190,0","н/д","1926,0","Росстат: раздел «Официальная статистика» —> Окружающая среда"
"Воздух","96022","Городов с регулярными наблюдениями за загрязнением воздуха","шт.","Тверская область","","","н/д","н/д","н/д","н/д","н/д","н/д","1","1","н/д","Росгидромет: ежегодник «Состояние загрязнения атмосферы в городах на территории России»"
"Прочее","96054","Особо охраняемые природные территории","шт.","Тверская область","всего","количество","1007","996","997","997","997","998","996","995","1004","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Почвы","96034","Пробы почв селитебных территорий с превышением нормативов (% исследованных проб)","%","Тверская область","по микробиологическим показателям","","н/д","н/д","н/д","н/д","9,92","7,42","16,5","18,9","н/д","2022 — Доклады «О состоянии санитарно-эпидемиологического благополучия населения» региональных управлений Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2021 — Письмо № 09-13254-2022-40 от 16.07.2022 Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2019–2020 — Роспотребнадзор: Государственный доклад «О состоянии санитарно-эпидемиологического благополучия населения в Российской Федерации»"
"Вода","96027","Сброс загрязненных сточных вод","м3","Тверская область","","на душу населения","н/д","59,8","н/д","57,3","н/д","52,3","58,5","56,2","64,5","ЕМИСС: Федеральное агентство водных ресурсов\
Расчеты: команда проекта «Если быть точным»"
"Вода","96026","Сброс загрязненных сточных вод","млн м3","Тверская область","","всего","н/д","78","н/д","73,6","н/д","65,9","72,9","69,1","85,5","ЕМИСС: Федеральное агентство водных ресурсов"
"Отходы","96039","Твердые коммунальные отходы","тысяч тонн","Тверская область","захоронено","всего","н/д","н/д","н/д","н/д","н/д","470,8","304,2","107,2","н/д","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96040","Твердые коммунальные отходы","кг","Тверская область","захоронено","на душу населения","н/д","н/д","н/д","н/д","н/д","374","244,3","87,2","н/д","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Почвы","96033","Пробы почв селитебных территорий с превышением нормативов (% исследованных проб)","%","Тверская область","по санитарно-химическим показателям","","н/д","н/д","н/д","н/д","0,18","0,43","4,3","1,5","н/д","2022 — Доклады «О состоянии санитарно-эпидемиологического благополучия населения» региональных управлений Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2021 — Письмо № 09-13254-2022-40 от 16.07.2022 Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2019–2020 — Роспотребнадзор: Государственный доклад «О состоянии санитарно-эпидемиологического благополучия населения в Российской Федерации»"
"Вода","96028","Водные объекты, отнесенные к категориям «грязная» и «экстремально грязная» вода (% поверхностных водных объектов)","%","Тверская область","","","н/д","н/д","н/д","н/д","8,3","8,3","9,1","н/д","н/д","Росгидромет: Ежегодник «Качество поверхностных вод Российской Федерации»\
Расчеты: команда проекта «Если быть точным»"
"Почвы","96031","Индекс нейтрального баланса деградации земель (от -100% до 100%)","%","Тверская область","","","н/д","н/д","н/д","н/д","95,7","н/д","н/д","н/д","н/д","Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019;"
"Почвы","96032","Площади зон хронического загрязнения почв токсикантами промышленного происхождения (% от площади региона)","%","Тверская область","","","н/д","н/д","н/д","н/д","15,3","н/д","н/д","н/д","н/д","Для некоторых регионов, о площадях загрязнения почв в которых нет точных данных, указан уровень загрязнения\
Институт глобального климата и экологии им. академика Ю. А. Израэля: монография «Загрязнение окружающей среды в регионах России в начале XXI века»"
"Почвы","96035","Пробы почв селитебных территорий с превышением нормативов (% исследованных проб)","%","Тверская область","по паразитологичесим показателям","","н/д","н/д","н/д","н/д","0,73","0,63","1,9","0,5","н/д","2022 — Доклады «О состоянии санитарно-эпидемиологического благополучия населения» региональных управлений Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2021 — Письмо № 09-13254-2022-40 от 16.07.2022 Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2019–2020 — Роспотребнадзор: Государственный доклад «О состоянии санитарно-эпидемиологического благополучия населения в Российской Федерации»"
"Прочее","96057","Особо охраняемые природные территории","шт.","Тверская область","местные","количество","3","3","3","3","3","4","4","4","0","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Отходы","96037","Твердые коммунальные отходы","тысяч тонн","Тверская область","образовано","всего","н/д","н/д","н/д","н/д","963,0","470,906995","367,23389","409,55405","н/д","2020–2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/ \
2019 — Минприроды: Государственный доклад о состоянии и об охране окружающей среды в 2020 году \
Расчеты: команда проекта «Если быть точным»"
"Отходы","96043","Твердые коммунальные отходы","%","Тверская область","направлено на утилизацию","% от образованных","н/д","н/д","н/д","н/д","н/д","0,0","1,1","0,9","н/д","2021-2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
2014–2020 — ЕМИСС\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96044","Твердые коммунальные отходы","тысяч тонн","Тверская область","накоплено","всего","н/д","н/д","н/д","н/д","н/д","0,0","0,0","5,2","н/д","2021-2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
2014–2020 — ЕМИСС\
Расчеты: команда проекта «Если быть точным»"
"Прочее","96060","Особо охраняемые природные территории","тыс га","Тверская область","региональные","площадь","1192","1009","1010","1010","1010","1009","1014","1013","1192","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Прочее","96061","Особо охраняемые природные территории","тыс га","Тверская область","местные","площадь","0","0","0","0","0","0","0","0","0","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Отходы","96050","Отходы производства и потребления","тысяч тонн","Тверская область","образовано","","7,4","н/д","н/д","60,2","960,5","1255,0","831,3","971,4","1064,0","2014–2018 — ЕМИСС\
2019–2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/"
"Отходы","96047","Объекты накопленного вреда окружающей среде","шт.","Тверская область","","всего объектов","н/д","н/д","н/д","н/д","н/д","н/д","5,0","5,0","н/д","Минприроды: Государственный реестр объектов накопленного вреда окружающей среде (данные на 15.07.2022)"
"Прочее","96058","Особо охраняемые природные территории","тыс га","Тверская область","всего","площадь","1285","1102","1103","1103","1103","1108","1113","1112","1285","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Прочее","96059","Особо охраняемые природные территории","тыс га","Тверская область","федеральные","площадь","93","93","93","93","93","99","99","99","93","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Отходы","96041","Твердые коммунальные отходы","%","Тверская область","захоронено","% от образованных","н/д","н/д","н/д","н/д","н/д","100,0","82,8","26,2","н/д","2021-2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
2014–2020 — ЕМИСС\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96038","Твердые коммунальные отходы","кг","Тверская область","образовано","на душу населения","н/д","н/д","н/д","н/д","758,5","373,6","294,8","332,9","н/д","2020–2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/ \
2019 — Минприроды: Государственный доклад о состоянии и об охране окружающей среды в 2020 году \
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96042","Твердые коммунальные отходы","тысяч тонн","Тверская область","направлено на утилизацию","всего","н/д","н/д","н/д","н/д","н/д","0,1","3,9","3,6","н/д","2021-2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
2014–2020 — ЕМИСС\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96051","Отходы производства и потребления","тысяч тонн","Тверская область","накоплено","","0","н/д","н/д","13","640","60","477","502,6","711","2014–2018 — ЕМИСС\
2019–2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/"
"Рейтинг","96063","Оценка масштаба проблемы (рейтинг А-Е)","оценка","Тверская область","","","н/д","н/д","н/д","н/д","н/д","н/д","C","B","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Отходы","96051","Отходы производства и потребления","тысяч тонн","Томская область","накоплено","","85","н/д","н/д","108","843","595","582","689,9","129","2014–2018 — ЕМИСС\
2019–2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/"
"Рейтинг","96063","Оценка масштаба проблемы (рейтинг А-Е)","оценка","Томская область","","","н/д","н/д","н/д","н/д","н/д","н/д","D","D","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Отходы","96047","Объекты накопленного вреда окружающей среде","шт.","Томская область","","всего объектов","н/д","н/д","н/д","н/д","н/д","н/д","1,0","1,0","н/д","Минприроды: Государственный реестр объектов накопленного вреда окружающей среде (данные на 15.07.2022)"
"Отходы","96050","Отходы производства и потребления","тысяч тонн","Томская область","образовано","","907,1","н/д","н/д","845,6","1788,4","2625,2","2492,4","1940,4","847,1","2014–2018 — ЕМИСС\
2019–2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/"
"Отходы","96044","Твердые коммунальные отходы","тысяч тонн","Томская область","накоплено","всего","н/д","н/д","н/д","н/д","н/д","0,3","0,0","0,0","н/д","2021-2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
2014–2020 — ЕМИСС\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96043","Твердые коммунальные отходы","%","Томская область","направлено на утилизацию","% от образованных","н/д","н/д","н/д","н/д","н/д","0,0","0,0","0,0","н/д","2021-2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
2014–2020 — ЕМИСС\
Расчеты: команда проекта «Если быть точным»"
"Прочее","96057","Особо охраняемые природные территории","шт.","Томская область","местные","количество","н/д","н/д","н/д","78","76","76","76","76","н/д","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Отходы","96037","Твердые коммунальные отходы","тысяч тонн","Томская область","образовано","всего","н/д","н/д","н/д","н/д","269,2","288,898986","304,979075","263,65474","н/д","2020–2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/ \
2019 — Минприроды: Государственный доклад о состоянии и об охране окружающей среды в 2020 году \
Расчеты: команда проекта «Если быть точным»"
